"Estacion","Fecha inicial","Fecha final","VViento"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-04","","0.31132088"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-03","","0.39227936"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-02","","0.50098499"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-01","","0.42416526"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-31","","0.31551382"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-30","","0.56458952"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-26","","0.8054201"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-25","","0.59392596"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-24","","0.42200428"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-23","","0.69143176"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-22","","0.82393412"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-21","","0.72034567"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-20","","0.59729532"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-19","","0.66059147"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-18","","0.98191723"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-17","","0.48963688"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-16","","0.79153122"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-15","","0.72446659"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-14","","0.33519326"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-13","","0.50826889"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-12","","0.64470755"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-11","","0.46631679"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-10","","0.68298513"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-09","","0.53730156"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-08","","0.60718012"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-07","","1.021723"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-06","","0.87613426"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-05","","0.78952256"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-04","","0.86924823"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-03","","0.62049108"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-02","","0.88891419"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-01","","0.61232203"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-29","","0.81259242"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-28","","0.94479867"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-27","","0.75267108"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-26","","0.53952064"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-25","","0.58373199"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-24","","0.7181503"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-23","","0.55819796"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-22","","0.65263701"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-21","","0.66691043"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-20","","0.90560454"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-19","","0.68151651"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-18","","0.81771044"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-17","","0.66668764"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-16","","0.51112064"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-15","","0.81936662"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-14","","0.37857517"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-13","","0.9178223"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-12","","0.64609507"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-11","","0.65050553"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-10","","0.5548586"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-09","","0.51355181"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-08","","0.42617094"
